"","X","text","score","polarity"
"70",70,"theyre people theyre organic robots soul ww wwiii world war nuclear russia ukraine nato putin iran china japan pakistan india nasa elon crypto bitcoin nft twitch tiktok world cup fifa christmas ",0,"Netral"
"71",71,"russia ops ukraine update western propaganda implodes war attrition grinds ",0,"Netral"
"72",72,"russia announces exchange war prisoners ukraine ",0,"Netral"
"73",73," soul house heart head ww wwiii world war nuclear russia ukraine nato putin iran china japan pakistan india nasa elon crypto bitcoin nft twitch tiktok world cup fifa christmas ",0,"Netral"
"74",74," good enough germans must wwii genocidal past right thing hiding behind lame pacifist excuses step help ukraine defeat russias fascist war criminal people dying help prevent repeat horrors ",0,"Netral"
"75",75,"andy vermaut sharesrussian death toll hit grisly cost war revealed ukraine newsweek thank ",0,"Netral"
"76",76,"ukraine nato allies facing major issue retired general warns dumb author long us fight afghanistan smuck ",0,"Netral"
"77",77," absolutely hate indian culture history hate doubly india backed russia ukraine war goaded starting",-2,"Negatif"
"78",78," part youre longer allowed see vile hypocritic wef pusher one reasons war drags huge money laundering scheme backs innocent civilians ukraine russia eu funded poor taxpayers ",-3,"Negatif"
"79",79," russia ukraine war bjp party asking asking",0,"Netral"
"80",80,"ukraine war latest russia may behind letter bomb attacks spain reznikov says ",-2,"Negatif"
"81",81,"joe biden emmanuel macron vow unity russia ",1,"Positif"
"82",82,"ukrainian troops suffer russia rains fire bakhmut fight donbass russia ukraine war ",0,"Netral"
"83",83,"biden says prepared speak putin ending ukraine war ",0,"Netral"
"84",84," ukraine soldiers killed russian since beginning war russia ukraineman power ukraine declined due unwanted war declared russia presidentthe reson behind war ",-1,"Negatif"
"85",85," know war started usa proxy ukraine attacked russia february ww aka nuclear war usa country war get ",0,"Netral"
"86",86," load rubbish war planning long time russia knew going attacking ukraine president trump power",0,"Netral"
"87",87," war ukraine caused putins fascist ambitions conquest doubt extended far beyond ukraine disturbing invested russia seems promoting trump republican party putin greater threat bin laden ever ",-4,"Negatif"
"88",88,"russiaputin still calling invasion ukraine war learn ",0,"Netral"
"89",89,"historian serhii plokhy fate war already clear ukraine independent russia tremendously weakened via ",1,"Positif"
"90",90," thats bs everyone world know ukraine front democrat war machine wants war atomic bomb russia order keep war machine running democrat leaders want ww republicans want fascism yalls leaders bad",0,"Netral"
"91",91," probably propaganda using ukraine fight war russia ukraine cant win",0,"Netral"
"92",92," please watch watch please think thousands ukrainian children abducted russia cut culture stand ukraine defeat russias genocidal war",1,"Positif"
"93",93," ukraine destroyed design war weaken russia washington everything provoke conflict west tapped reserve material good time ukraine tap ",-1,"Negatif"
"94",94," im funny overthrowing elected govt ukraines new leadership expect note also banned channels media country war germany ukraine wasnt war russia feb west still isnt",0,"Netral"
"95",95," russia nations done aothers future things sometimes inevitable evade without strong sharing discussions isolations sunctions continuing supporting ukraine unproper measures end war",0,"Netral"
"96",96," us doesnt send mercenaries thats lie russians spread theyre embarrassed ukraine alone considerable material support enough defeat russias military might russia end war time stopping aggression",1,"Positif"
"97",97,"around ukrainian soldiers killed russia ukraine war ",-1,"Negatif"
"98",98,"captured doc shows plan occupy kill co days intelligence based plans days sweet dreams became nightmare innit ",0,"Netral"
"99",99," ukraines capital putins attacks dont dim resolve fight russia ",-2,"Negatif"
"101",101," indias support russias invasion ukraine bringing shame india india seen collude country ruled criminal government putin war criminal",-2,"Negatif"
"102",102," russia overwhelming ukraines air defence systems us save ukraine russia ukraine war ",0,"Netral"
"104",104,"russia using rape weapon ukraine west must hold putin accountable via yes putin war criminals must fully prosecuted barbarism atrocities rape weapon war inhuman disgusting",-2,"Negatif"
"105",105,"russia trouble around vital town ukraine war map update dec ",0,"Netral"
"106",106,"russia couldnt beat afghanistan cant beat ukraine ukraine conversely cant beat russia warmoney laundering scheme go decades ",0,"Netral"
"107",107," retaking long goal ukraine seem optimistic chances way fought war far suggests position crimea weaker might seem",0,"Netral"
"108",108," wages war whole people freeze die without help conscripted dead sons madness ",-3,"Negatif"
"109",109," ukranians fought red army nazi invaders correction beside happened years ago justify war today democratic country led president jewish background ukraine less nazis russia today",1,"Positif"
"110",110," soyuz launches date meanwhile esa im old enough remember media russia became worlds first former space power ",1,"Positif"
"111",111,"exactly war us russia ukraine ",0,"Netral"
"112",112," brilliantly addresses typical concerns geopoliticallysavvy people proxy war russia ukraine ",0,"Netral"
"113",113," right financially amazing people broke getting laid inflation highest years russia goes war ukraine oh according liberals much better without trump",2,"Positif"
"114",114,"talk upset ukraine winning war russia even though russians nuclear weapons still doesnt face fact losing basic ground battles kudos ukraine ",1,"Positif"
"115",115," honest aknowledge eu tipless bullet russia ukraine war dancing us tune showing weakness",1,"Positif"
"116",116," agree war needs end us leaves syria haiti ethiopia iraq country wants us us uses sanctions force countries let stay talk russia leaving ukraine",0,"Netral"
"117",117,"lets sincerely pray russia ukraine war may god speak presidents give wisdom instill love respective citizens age wars age global village like coexistence advancements toward human civilizations",4,"Positif"
"118",118,"great legacy philippines promotion ",0,"Netral"
"119",119," many congress questioning commitment ukraine war russia instigated embarrassing",1,"Positif"
"120",120,"wait thought war russia ukraine ",0,"Netral"
"122",122,"russia accuses us direct participation ukraine war lavrov open totalks ",-1,"Negatif"
"123",123,"russia trouble around vital town ukraine war map update dec via ",0,"Netral"
"124",124,"russian propagandists worried losing war tried warcrimes ",0,"Netral"
"125",125," ye end war ukraine uniting nazis sides together claim donbas wellmeaning russians ukrainians unite russia say denazified ukraine ye goes one humanitarians averting nuclear war genius beautiful",1,"Positif"
"126",126," whataboutism argument lazy feeble someone someone else somewhere else past doesnt justify fascist russians ukraine genocide war crimes never justified ",-2,"Negatif"
"127",127," send russia putin enlist war ukraine",0,"Netral"
"128",128," lots arguments icc charge aggression nonparty states icj vs icc vs echr vs tribunal status icc investigation proicc prolocal ",-1,"Negatif"
"129",129,"russian death toll hit grisly cost war revealed ukraine newsweek ",0,"Netral"
"130",130,"ukrainerussia war live updates ukraine lost soldiers ",-1,"Negatif"
"131",131," big father home belongings good look outside look whole world remember creatures world stand position lead influence others stop war btn russia ukraine remember ",2,"Positif"
"132",132,"joe biden emmanuel macron condemn vladimir putin ukraine invasion open talks ",-1,"Negatif"
"133",133," war rages ukraine odesa votes remove statue russian empress catherine ii radio free europe ",0,"Netral"
"134",134,"joe biden says prepared speak vladimir putin russian president willing end war russiaukraine war glance know day invasion ",1,"Positif"
"135",135,"russias lavrov says us nato participants ukraine war ",0,"Netral"
"136",136,"antiwars ted snider us proxy war ukraine never really ukraine hasnt even ultimately russia long run standoff always china desperate campaign us empire preserve unrivaled domination ",0,"Netral"
"137",137,"united states president joe biden hosted french president emmanuel macron white house thursday ",0,"Netral"
"138",138,"war declared members military industrial intelligence idiots complex united states government united states military contract ",0,"Netral"
"139",139,"newsweek putin loses troops weeks russian president vladimir putin lost troops two weeks adding casualties hefty estimated russian death toll war ukraine ",-4,"Negatif"
"140",140," nov russians panic massive sabotage hits russian cities war ukraine explained ",0,"Netral"
"141",141," press conference following bilateral meeting french pres emmanuel macron pres biden reiterated france uss support ukraine russias war country continues ",1,"Positif"
"142",142," longer goes hate ukraine thats say like russia invasion imperialism done sake natural gas ukrainian government military run savage war criminals ",-1,"Negatif"
"143",143," agreed monstrous soviet ideology soviet regime pit people created divisions made neighbors lived together centuries hate hopefully war russias last crime",-3,"Negatif"
"144",144," oh please stop patting back war ukraine happened russia thought saw week country way takeover yes getting bed russians build pipeline doesnt look good ted",1,"Positif"
"145",145,"olaf scholz suggested europe go back prewar peace order russia resolve questions common security war ukraine president putin willing renounce aggression neighbours ",-1,"Negatif"
"146",146,"andy vermaut shareseu wants special court try russia ukraine war crimes european commission president ursula von der leyen speaks dublin dec russia must pay horrific crimes said laying arguments thank ",-1,"Negatif"
"147",147," hasnt us sanctioned exkgb patriarch kirill blessed encouraged russias war ukraine",0,"Netral"
"148",148,"russiaukraine war importance drones nigerias antiinsurgency fight ",0,"Netral"
"149",149," oh yeah thats right last republican administration gas price inflation southern border much better shape present wars ukraine china russia iran north korea stepping line yeah gas inflation food shortages war ever step yup",2,"Positif"
"152",152,"france backs plans tribunal russian officials ukraine war russia guardian ",0,"Netral"
"153",153,"russiaukraine war importance drones nigerias antiinsurgency fight punch newspapers ",-1,"Negatif"
"154",154," havent praised russia also praising ukraine america regional security issues domestic problems trade war china turns hot depleted supplying proxy war wont good anyone world",2,"Positif"
"155",155,"us approves million missile sale finland seeks join nato ",0,"Netral"
"157",157," rural russians think war going well ",0,"Netral"
"158",158," uncleusauk nato group supply weapon ukraine think russia finished due ukraine warwestern union always kill u u guilty applying nuke applying nuke apply nuke ukraine delay hesitation",-3,"Negatif"
"159",159,"russiaukraine war importance drones nigerias antiinsurgencyfight ",-1,"Negatif"
"160",160," condemn war ukraine dont think africans memory europeans enslaving colonizing russia helped bondage",-1,"Negatif"
"161",161,"ukraine holding upper hand russia winter fight watch easy putin send troops hell ",0,"Netral"
"162",162,"russia fully intends create conditions livable ukraine winter russians know mean russian channel crazy z war enumerates perks destruction energy grid ",-1,"Negatif"
"163",163,"russia ready lose bakhmut current ukraine war news enfor via ",0,"Netral"
"164",164," uncleusauk nato group supply weapon ukraine think russia finished due ukraine warwestern union always destroy u u guilty applying nuke applying nuke apply nuke ukraine delay hesitation",-3,"Negatif"
"165",165,"im expert im pretty sure ww little bit worse ukrainerussia war far battle verdun feb dec germans lost k men killed wounded french approximately k thats battle verdun alone ",-2,"Negatif"
"166",166," russia gained lost war ukraine muscovites weigh ",0,"Netral"
"167",167," izya true nato war russia ukraine yes true going ohhh russians thousands machines burned thousands killed hundreds planes shot nato wont believe havent arrived yet",0,"Netral"
"168",168," harder case russia ukraine war crime ",0,"Netral"
"169",169," unfortunate outcome related russia nuclear weapons war invasion russia one sided war meaning ukraine wont even given artillery reach soil russia fear escalation meanwhile russia continues ",-2,"Negatif"
"171",171," wintertime letup combat operations ukrainian officials believe give russias beleaguered army chance rest regroup try seize momentum eluded moscows forces throughout nine months fighting ",0,"Netral"
"173",173,"biden macron diverge willingness engage putin ",1,"Positif"
"174",174," petrol rs delhi reached rs means increase congress rs delhi means increase modi govt ukraine russia war countries prices got almost doubled people past govt soon",0,"Netral"
"175",175," entire war war crime ",0,"Netral"
"176",176," war russia lost ukraine mopping remnants",0,"Netral"
"177",177,"ukraine war resilience ukraine key going forward ",0,"Netral"
"178",178,"macrons visit washington revealed bitter rivalries tearing apart nato alliance wages war russia ukraine macron warned protectionist us policies fracture nato ",-2,"Negatif"
"180",180," one argue invasion ukraine war crime one argue said ukraine invaded ok fine argue russia reason well thats pretty much unsupportable",1,"Positif"
"181",181,"gopro footage ukraine fighters encircle russian troops south kherson ",0,"Netral"
"182",182,"working capital management become strategic focus companies asiapacific apac face high inflation strained supply chains impacts russiaukraine war check afps apac treasury advisory councils discussion ",-1,"Negatif"
"183",183,"ukraine war latest news massive attack imminent amid high activity russian air base telegraph w rss ",-1,"Negatif"
"184",184," many ukrainian soldiers killed since invaded february kyiv official said said number dead adding many soldiers wounded ",-1,"Negatif"
"185",185," treasury secretary go late night tv blame consumer spending russias war ukraine inflation dishonest",-2,"Negatif"
"186",186," usa japan wins world cup soon trump win election bitcoin indeed goes zero usdt collapse cbdc takeover russia ukraine war last years",1,"Positif"
"187",187,"making war personal probably one biggest mistakes ukraine made level dehumanisation something ive never seen modern europe deep visceral anger russia russia go whole distance",-1,"Negatif"
"188",188," stability russia ukraine war end",1,"Positif"
"190",190,"biden urges russia end war rational way withdrawing ukraine perfect answer biden loaded question imo ",0,"Netral"
"191",191," remember said russia never start war ukraine",0,"Netral"
"192",192,"ukraine war footage ukrainian forces destroy russian tank ",-2,"Negatif"
"194",194," many ukranians die mr zelensky realize win war zelensky says ukraine preparing powerful countermeasure russia ",0,"Netral"
"196",196,"germans struggle influx ukrainian refugees olaf scholz zelensky russia ukraine war ",0,"Netral"
"197",197," get war ukraine russia boost excitement safety happiness asking sincere question",2,"Positif"
"198",198,"december russiaukraine news cnn ",0,"Netral"
"199",199," big explosion ukraine drone attack sparks inferno russian oil depot ",0,"Netral"
"200",200," handle stop finding war ukraine letrussia win start buying cheap russian fuel complete fix big step helping america along upping drilling mining fracking home fix ",1,"Positif"
"201",201,"russia use advanced weapons ukraine war defence minister ndtv ",0,"Netral"
"202",202,"algeria unlike iran north korea way supported russias rogue behavior ukraine token algeria bowed western pressure end dealings russia taken official stances moscow ukraine ",0,"Netral"
"203",203," europe instead decline due war flows expected increase share remittances russia increase ",-1,"Negatif"
"204",204,"zelensky warns russian terrorists planning strikes ukraines energy infrastructure kyiv branded putins war left millions without power ahead cold winter genocide via ",-1,"Negatif"
"206",206," frontline ukraines artillery war ",0,"Netral"
"207",207,"us france pledge ukraine support amid russias brutal war ",1,"Positif"
"209",209," know day invasion joe biden says prepared speak vladimir putin russian president willing end war ukraine estimates armed forces lost soldiers far ",0,"Netral"
"210",210," war made russia worlds laughingstock videos unequipped untrained mobiks funny tragic funny nevertheless many russian soldiers going freeze death soon ukraine save ammo winter",-3,"Negatif"
"211",211,"ukrainian stop fighting bastard elite sent slaughterhouse advice applies mexicain canadian vietnamese taiwanese know ukraine cant win war russia mexico canada cant usa vietnamtaiwan cant china",0,"Netral"
"213",213,"gopro footage ukrainian military attacks russian reservists digging trenches ",-1,"Negatif"
"214",214," said stream ground won vs ground lost ukraine winningbut russia still controls large portions ukraine less high point ukraine momentum russia still large portion ukraine lots war still ahead",1,"Positif"
"215",215,"ukraine blamed explosion belgorod russia possibly using missiles german chancellor says russia win war ukraine blackout also reported tyotkino ru possibly due drone attack town border town",1,"Positif"
"216",216," lion cubs saved war ukraine arrive us sanctuary ",0,"Netral"
"217",217," think general leia organa proud ",0,"Netral"
"218",218,"drone footage ukraine drones drops grenade destroys russian military tank soldiers ",-1,"Negatif"
"219",219," war started due western usa threat russia ukraine yet western country actually helping ukraine joining war theyve started blame russia says losing war well least food energy",-2,"Negatif"
"220",220,"breaking news live updates us france pledge hold russia accountable war crimes inukraine ",0,"Netral"
"221",221,"g condemn russias ukraine invasion urge end associated press g condemn russias ukraine invasion urge endthe associated press ",-2,"Negatif"
"222",222," dont agree russia started ukraine war im deal dirt called lgbtq putin made clear doesnt want type human waste house approve ",0,"Netral"
"223",223," actually pretty easy understand america destabilizes countries funds far right countries come control far right far right kills people america done ukraine russia causing war",2,"Positif"
"224",224,"biden urges russia end war rational way withdrawing ukraine ",0,"Netral"
"225",225," corrupt children bribed american lollies disregarded russia calling attention chemical weapons labs set ukraine russia rightfully assume meant whole reason war counter global elite plans",1,"Positif"
"226",226," ukraines military said russia pulled troops towns opposite bank dnipro river kherson city first official ukrainian repor",0,"Netral"
"227",227," neutral point view russia winning war ukraine nato eu us losing war",0,"Netral"
"228",228," american intent destroy russia american intent selfdestruction ",-1,"Negatif"
"229",229," read ",0,"Netral"
"230",230,"live ukraine lost soldiers official says ",-1,"Negatif"
"231",231," invaders destroyedukraine war footage ",0,"Netral"
"232",232,"biden macron resolve hold russia accountable many atrocities war crimes ukraine ",0,"Netral"
"233",233,"russias war ukraine latest news russian troops pull back near kherson ",0,"Netral"
"234",234," keep pushing conspiracy theories next going tell ukrainian missile didnt destroy polish tractor ghost kiev real person ukrainian soldiers died far war ukraine chance hell defeating russia ",-3,"Negatif"
"235",235," new russia law areas one cant speak critically anything russia armed forced part war ukraine basicly say anything used russia draconian law",0,"Netral"
"236",236," besides fact russia started war sending little green men steal ukranian land ukraines right soveirgn country join whatever defense alliance wants dont see nato invading belarus joining ctso",0,"Netral"
"237",237,"eu plans set new court prosecute russias war ukraine theres mixed record holding leaders like putin accountable waging wars via time karma justice bring heat begin",0,"Netral"
"238",238,"ukrainerussia war live updates ukraine lost soldiers times ofindia ",-1,"Negatif"
"239",239,"russian foreign minister openly admits country went war ukraine ",1,"Positif"
"240",240," next israel eastern europe delayed russia ukraine war swiss wealthy live simple lives majestic mountains",0,"Netral"
"241",241,"putin pressure russias hawks want bigger results escalate ukraine war ",0,"Netral"
"242",242,"im sorry poor russian conscripts war criminal deserves worst russias attempts capture embattled city eastern ukraine resulted colossal losses president vladimir putins army according top ukrainian defense official newsweek",-4,"Negatif"
"243",243,"jul shinzo abe death aug trump home raided fbi sep queen dead oct bridge russiaukraine war hit nov rothschild dead ",0,"Netral"
"244",244,"russiaukraine war russia takes bakhmut garbage dump november th ",0,"Netral"
"245",245," yes shocker hear perhaps died war said wasnt going happen also said show probably still russia intention occupy ukraine fact russia occupy annexes force",-1,"Negatif"
"246",246," spiraling war well ukraines control control growing time russia good options keep digging graves deeper sight watch ",2,"Positif"
"247",247,"latest us france pledge hold russia accountable war crimes ukraine",0,"Netral"
"248",248,"russiaukraine war glance know day invasion guardian ",0,"Netral"
"249",249," wont know ukraine war russians killing russians really stupid war russia trying draw america war aint going happen",-2,"Negatif"
"250",250," war ukraine caused putin people russia support putin regime us eu",1,"Positif"
"251",251," man started war russia ukraine finally coming forward",0,"Netral"
"252",252,"russiaukraine war list key events day ",0,"Netral"
"253",253," sergei lavrov accused nato us involvement ukraine war said russias strikes ukrainian energy facilities left millions without power heating water intended weaken ukraines military potential derail shipments western weapons ",-1,"Negatif"
"255",255,"biden ready talk putin end war ",1,"Positif"
"256",256," think like open negotiation like invitation us talk stop war russia stop attacking ukraine think ukraine must involved well dont think ukraine allow us negotiate behalf",2,"Positif"
"257",257," like comment russian terroristic attacks ukraines infrastructure maybe horrible war reason make putin happy erased sities",-1,"Negatif"
"258",258,"war update russian troops withdraw units settlements zaporizhzhia region ",0,"Netral"
"259",259," russia must pay several levels acknowledge war crimesby russians russia post war must surrender war criminals russia must contract never invade lose membership cease aid criminal regimes restore reparations ",-3,"Negatif"
"260",260,"ukraines military said russia pulled troops towns opposite bank dnipro river kherson city first official ukrainian report russian withdrawal main front line south ",0,"Netral"
"261",261,"president biden french president emmanuel macron agreed needs support ukraine war russia biden also said plans contact russian president vladimir putin war ",1,"Positif"
"262",262," battle small city bakhmut important russia ukraine cbc news ",1,"Positif"
"264",264," russians far nazis ukraine ever part prisoner culture informs wagner group core azov purged nazis well war russias nazis field right raping ukrainians",0,"Netral"
"265",265,"andy vermaut sharesrussia ukraine war military summary analysis video wnu editor lot updates today thank ",0,"Netral"
"266",266,"andy vermaut sharesrussia ukraine war maps december click images enlarge thank ",0,"Netral"
"267",267,"andy vermaut sharestweets russia ukraine war latest defence intelligence update situation ukraine december find uk governments response thank ",0,"Netral"
"268",268,"russia ukraine war ukraine lost soldiers ",0,"Netral"
"270",270,"presidents joe biden emmanuel macron vowed maintain united front russia thursday amid growing worries waning support ukraines war effort us europe ",-1,"Negatif"
"271",271,"zachary kallenborn ukraines drone war nuclear tensions ",0,"Netral"
"272",272," defeat nazism defeat russia ",2,"Positif"
"273",273," poland used pawn us fire war russia ukraine spread westwards france decided otherwise ",0,"Netral"
"274",274," nine months fighting support war ukraine plunged russia according leaked poll ",1,"Positif"
"275",275,"russia ukraine peace dealbut told us way war continues wears russia end goal strain deplete bears finance",0,"Netral"
"276",276," sadly thats plan globalists usher nwo end justifies means casualties minor collateral damage eyes bidens proxy war russia ukraine deaths chose stimulate us economy",0,"Netral"
"277",277,"russia accuses us direct ukraine war role says open potential talks bullsht russia actually threatened ukraine far russia enjoyed taking damage russian soil",-1,"Negatif"
"278",278," biden even talk putin really russia ukraine war thought ukraine president ",0,"Netral"
"279",279," forces blow ammo depot using drone bombs russia vs ukraine war footage ",-1,"Negatif"
"280",280,"onethird kherson without power nightfall latest russian shelling cbc news ",0,"Netral"
"281",281," many years media wrote azov trained nato standards majority beo nazie attacking russian speaking citizens ukraine said estimated russians killed disappeared civil war ethnic cleansing nothing alike russia",-1,"Negatif"
"282",282,"russias lavrov slams us nato directly participating ukraine war times israel ",0,"Netral"
"283",283," guy baltimore care much russiaukraine war thats talk dont even tweet ravens",0,"Netral"
"284",284," war ukraine caused russias genocidal drive destroy ukraine ukrainians ted stop playing primitive politics lives countless men women children tell putinloving republican base america values stood democracy",-2,"Negatif"
"285",285," many ukrainian soldiers killed war official russiaukraine warnews ",-1,"Negatif"
"286",286," russian crossed ukraine car several years war even easter regions people speaking ukrainian one said want part russia honest oppression russians lie",-1,"Negatif"
"287",287," meaningless war end russia anything building green energy infrastructure world wasted putin yr russians angry president vladimir putin spending billions increasingly unpopular war ukraine freeze back home",-5,"Negatif"
"289",289," republicans care taxing middle class poor inflation happened tax breaks rich corps covid russias war wukraine oil corp greed oil repulsives nothing help americans except kiss trumps criminal ass",-3,"Negatif"
"290",290," lol nato countries supply defence weapons ukraine russia leave war nato buzzword",0,"Netral"
"291",291," wow sexist much using rape weapon war ok torturing civilians fine sending supplies munitions near end life step far budapest memorandum uk us guaranteed ukraine sovereignty russia know went",-1,"Negatif"
