"","text","score","polarity"
"12","The EU is edging closer to setting a $60-per-barrel price cap on Russian oil. It's a complicated political and economic plan designed to keep Russia's supplies flowing into global markets while clamping down on Moscow's ability to fund the war in Ukraine. https://t.co/n4XwhSDqmv",-1,"Negatif"
"13","US, France pledge to hold Russia accountable for 'war crimes' in Ukraine https://t.co/VT9QD2x7o8",0,"Netral"
"14","Russia accuses US of direct Ukraine war role, but says it's open to potential talks https://t.co/Xf85yCVqaN https://t.co/yqmU7J22Iz",-1,"Negatif"
"15","CBC News Why the battle for the small city of Bakhmut is so important to both Russia and Ukraine.
https://t.co/Y4a3n5DrKb

via @GoogleNews",1,"Positif"
"16","@Democracy_Unity  Why is the UN doing absolutely nothing about the war in Ukraine? There’s clearly a criminal party Russia clearly an innocent being attacked Ukraine. And United Nations supposed to be able to maintain peace and clearly impotent. Does the UN do anything?",3,"Positif"
"17","Ukraine War: Where are Russia making gains?
#Zaporizhia #Ukraine #Russia #Crimea #Chechnya
https://t.co/nw7fvac3Q6",0,"Netral"
"18","@DerLionHeart I hope, but I don’t see it unless a certain powerful faction gets kneecapped. Russia-Ukraine War and China might be the catalysts for such.",1,"Positif"
"19","Just how insane is any man such as #putin to think that the death of 13000 #Ukraine soldiers &amp; the huge shame brought to #Russia is somehow acceptable in modern times?
BBC-Ukraine war: #Zelensky aide reveals 13,000 war dead
https://t.co/kWcTeVaEDO #China #India #Chechnya #kremlin",-3,"Negatif"
"20","CBC News: Why the battle for the small city of Bakhmut is so important to both Russia and Ukraine.
https://t.co/Y4a3n5DrKb

via @GoogleNews",1,"Positif"
"21","Russia and Ukraine war map 30 November 2022   280 day invasion  Military summary latest news today
#Zaporizhia #Ukraine #Russia #Crimea #Chechnya
https://t.co/r1ME9UKIYf",0,"Netral"
"22","• 6th suspected letter bomb intercepted in Spain at US Embassy

• Russia condemns EU proposal to create special tribunal on Ukraine war

• Azerbaijan slams new French parliamentary resolution as ‘provocation’ 

Morning Briefing – Dec. 2, 2022 https://t.co/qL44GuwD1z https://t.co/SiPVGL8pUc",-2,"Negatif"
"23","@SenTedCruz The pipeline to Germany began construction in 2011 &amp; was completed in 2021

The invasion of Ukraine started in 2022

POTUS kept existing sanctions on russia &amp; added more once the threat of war was realized

Sanctions you ""wrote"". Where did you write them, on the back of a napkin? https://t.co/DMJ3rgxwc2",-1,"Negatif"
"24","Presidents #JoeBiden and #EmmanuelMacron vowed to maintain a united front against #Russia on Thursday amid growing worries about waning support for #Ukraine's war effort in the U.S. and Europe.
https://t.co/MJWY0POGGW",-1,"Negatif"
"25","US-UAE relations have turned into a diplomatic battleground due to Russia's war in Ukraine. https://t.co/saRNIuCLu0",1,"Positif"
"26","Leaked Kremlin poll shows 55% of Russians want to see negotiations with Ukraine to end the war:   not   one  side   beneficial  negotiation,  but   fair  outcome  of  negotiation, and  Russia  should  not  try  even  overcome  with  negotiating  ,  like  its  trying   in  a war!",3,"Positif"
"27","Did you know that Ted Cruz has an ""alternate history"" version of why there's a war between Russia and Ukraine?
It's Biden's fault. https://t.co/DAVXRiVX3f",0,"Netral"
"28","@tedcruz It's important that you stop funding the war machine. Russia can have Ukraine if they want, it isn't a USA problem! We are not the world police!",1,"Positif"
"29","We Are Using Ukraine To Do WHAT?! The award-winning journalist Aaron Maté, explains why peace talks were stopped between Russia &amp; Ukraine. Also, how the US is using Ukraine to weaken Russia without a direct conflict. #Russia #Ukraine #War https://t.co/ZxxSIeLPIN via @YouTube",0,"Netral"
"30","@SenTedCruz And here I thought the war in Ukraine was started by Russia when Putin invaded a sovereign country. 
Ted Cruz plays chess while the rest of us play checkers.",0,"Netral"
"31","@Nagato_gata @ShehabBawazeer2 That was gained in the first month of the war. Since then Ukraine has taken back 50% of the gains. Kharkiv oblast is free of Russians. Lyman is back. Izyum is back. Kherson is back. Russia hasn't taken anything since July except a couple of km around Bakhmut. The RU army sucks.",2,"Positif"
"32","Ukraine War Update (20221201): Full Frontline Update &amp; Bakhmut Analysis
#Zaporizhia #Ukraine #Russia #Crimea #Chechnya
https://t.co/DXTAVPlvH8",0,"Netral"
"33","Ukraine's armed forces have lost up to 13,000 soldiers since Russian invasion, official says | World News - https://t.co/fkUjf6AU17{ 

        Ukraine's armed forces have lost up to 13,000 soldiers so far in the war against Russia, presidential adviser Mykhailo Podolyak h... https://t.co/Zr9TUdfXuG",-2,"Negatif"
"34","""Like the First World War"" | Russia, Ukraine Take Heavy Losses As Putin Eyes Desperate Bakhmut Win
#Canada #Germany #America #Ukraine #Bakhmut
https://t.co/PFNQUviEOE",0,"Netral"
"35","@mdfzeh this side of an all out nuclear war between the USA and Russia, nobody is going to nuke Kiev or anywhere in the Ukraine, or in Europe. geez louise

(I am assuming there won't be a fatal miscalculation or serious misunderstanding, at a very late stage in the Armageddon game)",-2,"Negatif"
"36","@sheboonsheboon @ScholarMountain @KrisTheRula @ighaworth @kanyewest to sum up moor where even forced to join the war or allied to free their land &gt;&gt;&gt;same as chechens soldier in ukraine or russia",1,"Positif"
"37","@SenTedCruz If what you say is true, Ted Cruz, why wouldn’t Russia start a war with the USA instead of Ukraine? Your tweet doesn’t make sense.",0,"Netral"
"38","Russia-Ukraine war at a glance: what we know on day 282 of the invasion https://t.co/1YgIQ4rjvg",0,"Netral"
"39","@Latte_Bogan @PetraAu @abc730 @MarinSanna @FergusonNews Don't hold your breath. Europe is realising, too late, that it's being destroyed, its industry canabilised, by the US. Will they expel US bases from their countries, refuse to take part in the ongoing destruction of Ukraine in the US proxy war with Russia?  I very much doubt it.",-4,"Negatif"
"40","Biden and Macron Say Russia Must Leave Ukraine for War to End  https://t.co/mBNdsWICsW",0,"Netral"
"41","#Biden, #Macron resolve to hold #Russia accountable for atrocities, #war crimes in #Ukraine https://t.co/mJv2qHfLK9",0,"Netral"
"42","@POTUS If General Patton had been given the OK to Invade Russia in 1946 this War with the Ukraine wld never have happened
@WhiteHouse 
@USArmyEURAF 
@USArmy 
@USArmyReserve 
@USArmyOldGuard",0,"Netral"
"43","@AkhilBha58 @AskAnshul This is just paper support 😂 actually India &amp; Israel Intel and technology sharing happens in ground level.. just like India saying we condemn Russia war in Ukraine but buying petrol from Russia so that it doesn't fall due to economy sanctions and loss.",0,"Netral"
"44","@drdagly I've noticed that too, and I haven't seen a single tweet about the Russia Ukraine war in over a month, either.",0,"Netral"
"45","Biden and Macron Say Russia Must Leave Ukraine for War to End https://t.co/gijfXfRuWC",0,"Netral"
"46","Biden and Macron Say Russia Must Leave Ukraine for War to End https://t.co/4ykMGtt97a",0,"Netral"
"47","UKRAINE WAR LATEST | Biden says he's 'prepared' to speak with Putin about ending war
https://t.co/IKXUXFYFUG
#Ukraine #UkraineRussiaWar #Russia #RussiaUkraineWar",0,"Netral"
"48","@numbersdelight @ConradeTrump @jordanbpeterson @BjornLomborg Russia is very poor. The USSR provided free education, healthcare, and housing. They abolished homelessness. What has capitalism in russia done? It started a war with Ukraine and currently taking innocent lives.",1,"Positif"
"49","#US, #France pledge to hold #Russia accountable for 'war crimes' in #Ukraine
https://t.co/DrVtBURhBo https://t.co/wLbBpireJS",0,"Netral"
"50","27 Nov Ukraine War Map Russia Lose Control in Bakhmut War in Ukraine Explained
#Canada #Germany #America #Ukraine #Bakhmut https://t.co/RPaR1kVS8X",0,"Netral"
"51","Historic Victory From Ukraine: The War Is Now In Russia! https://t.co/Xl1tBMPWlZ via @YouTube",0,"Netral"
"52","Russia has committed more than 600 billion euros in damage in Ukraine.

Russian assets must pay in full for the reconstruction of Ukraine.

Russian war criminals must pay for ordering and carrying out genocide crimes against Ukraine.

Stop TerroRussia! Never Again! https://t.co/ixgHXA5epd",-2,"Negatif"
"53","“We have many different layers existing within this space”

#shaykhnurjanmirahmadi ww3 wwiii world war nuclear russia ukraine nato putin iran china japan pakistan india nasa elon crypto bitcoin nft twitch tiktok world cup fifa christmas https://t.co/slluOQtVHd",0,"Netral"
"54","Morally it is also questionable here as well since we didn't accommodate Russia security concerns in Ukraine when approached by Russia in February, likely averting this war, and prevented Ukraine from signing a neutrality agreement with Russia in March mediated by Ankara.",-1,"Negatif"
"55","@AnthonySabatini @tedcruz Russia is being defeated without a single American loss. A direct confrontation with Russia would result in nuclear war. Supporting Ukraine is the best opportunity in our lifetime to rid Russia as a threat",0,"Netral"
"56","🔴LIVE TV: Russia Ukraine Conflict | Putin | Zelenskyy | Drone Attack | Cold Attack | World War News
#Kherson #America #europe #news #UkraineWar #UkraineRussiaWar
https://t.co/bz6TuAsvHI",0,"Netral"
"57","@NEWSMAX Lord I pray that war between Russia and Ukraine help us find a way to end the destruction of lives.",-1,"Negatif"
"58","Ukraine and NATO allies facing 'major issue,' retired general warns https://t.co/E0f1qcjgqp 
***** Europe s creating lots of jobs making munitions !
***** The US is fine tuning its manufacturing of bombs and rockets and drones thanks to Russia !",0,"Netral"
"59","“It’s not a clone, it’s an organic robot” 5/5

#shaykhnurjanmirahmadi ww3 wwiii world war nuclear russia ukraine nato putin iran china japan pakistan india nasa elon crypto bitcoin nft twitch tiktok world cup fifa christmas https://t.co/LOkhkbVYgv",0,"Netral"
"60","Although the Russia–Ukraine war of 2022 has raised questions about the utility of cyber operations in war, it still provides valuable insight into what the cyber dimension of a modern war might look like. https://t.co/TPsZYgGOmQ",2,"Positif"
"61","“But your consciousness of your soul... they cannot replicate” 4/5

#shaykhnurjanmirahmadi ww3 wwiii world war nuclear russia ukraine nato putin iran china japan pakistan india nasa elon crypto bitcoin nft twitch tiktok world cup fifa christmas https://t.co/mTbp0Mg48T",0,"Netral"
"62","What is happening in #russia is a reflection of #ukraine freedom is libel to gods people #everybody we must bring justice to the lions share &amp; free all our brothers &amp; sisters 

Their is no beauty in war",3,"Positif"
"63","@JarrodAntley @NOELreports Zelensky and the Ukraine people are fighting the war the US can't. Russia would have still been considered the major rival to the US if it wasn't for the Ukraine. The US is once again the greatest power. Trump would have bent over for Putin &amp; weakened the US further",-1,"Negatif"
"64","“There is one jinn... controlling fifty different organic beings” 3/5

#shaykhnurjanmirahmadi ww3 wwiii world war nuclear russia ukraine nato putin iran china japan pakistan india nasa elon crypto bitcoin nft twitch tiktok world cup fifa christmas https://t.co/F9gxRHvNOE",0,"Netral"
"65","@TomWeis11488458 @honkjhonk @colonelhomsi Yea Russia is occupying 16% of Ukraine. 
7% is Crimea and Donbas before the war started.   So Russia have lost more than 50% of taken land this year",-1,"Negatif"
"66","Choice is small : Meatgrinder or escape🔥Ukraine war footage
#war #Russia #America #UkraineRussiaWar #Britain #UkraineWar
https://t.co/PKI034XPhN",0,"Netral"
"67","During Russia and Ukraine war the Amarica has got a bitter experience firstly the hole warld suffering their economy crices except India 
because of there strong economy dession now India and Russia tryup business transaction with rupee and ruble instad of doller",-1,"Negatif"
"68","Ukraine sees 9 deaths in 1 day, as civilians struggle to heat homes after Russian attacks | CBC News https://t.co/Ju8dMHs9UT Is it time to stop this madness?",-2,"Negatif"
"69","@SenTedCruz The war in Ukraine was caused because Putin wants to reestablish a Russian empire; prevent democratic encirclement around Russia and will wipe out Ukrainian culture and people to do it.",0,"Netral"
"70","“They’re not people, they’re organic robots— they have no soul” 2/5

#shaykhnurjanmirahmadi ww3 wwiii world war nuclear russia ukraine nato putin iran china japan pakistan india nasa elon crypto bitcoin nft twitch tiktok world cup fifa christmas https://t.co/d9dS0WWdhh",0,"Netral"
"71","Russia Ops in Ukraine (Update): Western Propaganda Implodes as War of Attrition Grinds On
https://t.co/dYJOEgfY4u",0,"Netral"
"72","Russia announces exchange of more war prisoners with Ukraine https://t.co/3RmBl6TZBx",0,"Netral"
"73","“The soul: its house is the heart, not the head” 1/5

#shaykhnurjanmirahmadi ww3 wwiii world war nuclear russia ukraine nato putin iran china japan pakistan india nasa elon crypto bitcoin nft twitch tiktok world cup fifa christmas https://t.co/Y4FyymsSk9",0,"Netral"
"74","It's just not good enough! Germans must own up to their WWII genocidal past by doing the right thing, not hiding behind lame pacifist excuses. Step up and help Ukraine defeat Russia's fascist war criminal. Of all people, you should be dying to help prevent a repeat of 🇩🇪 horrors. https://t.co/W0LogrwWrU",0,"Netral"
"75","Andy Vermaut shares:Russian Death Toll To Hit 90,000 As Grisly Cost of War Revealed: Ukraine - Newsweek: *… https://t.co/p7JH9wVaTV Thank you. #AndyVermautSharesThisNewsWithLoveAndHopes #TheWorldCanBecomeABetterPlaceSomedaySometime #WeNeedMoreLoveForWorldPeaceNowAndAlways https://t.co/mYAJPJ5jHB",0,"Netral"
"76","Ukraine and NATO allies facing 'major issue,' retired general warns https://t.co/E0f1qc1F1P ....dumb author .....How long did the US fight in Afghanistan ... you smuck ?",0,"Netral"
"77","@RealHardWorker @GlitchedTNT @Joelmpetlin @kanyewest They absolutely hate Indian culture and history. They hate it doubly so because India backed Russia in the Ukraine War that we goaded them into starting.",-2,"Negatif"
"78","The part you're no longer allowed to see. This vile hypocritic WEF pusher is one of the reasons the war drags on and on. It's a huge money laundering scheme, over the backs of innocent civilians, in Ukraine AND in Russia AND in the EU. Funded by their poor taxpayers. https://t.co/tQiNEp70ui",-3,"Negatif"
"79","@Saliltoday @JhaSanjay Russia Ukraine war, is BJP a party. Just asking and asking?",0,"Netral"
"80","Ukraine war latest: Russia may be behind letter bomb attacks in Spain, Reznikov says https://t.co/OgIaFl7Lt5",-2,"Negatif"
"81","Joe Biden, Emmanuel Macron vow unity against Russia

#UkraineWar 

https://t.co/LBpyPDBNJ7",1,"Positif"
"82","Ukrainian Troops Suffer as Russia Rains Fire on Bakhmut | Fight for Donbass | Russia Ukraine War
#Canada #Germany #America #Ukraine #Bakhmut
https://t.co/HHsRv5Cdj0",0,"Netral"
"83","Biden says he is prepared to speak with Putin about ending Ukraine war https://t.co/vsk4A9RJhl",0,"Netral"
"84","@timesofindia Ukraine 13000,Soldier’s killed by Russian Since from the Beginning of the War between Russia and Ukraine,Man power of the Ukraine declined due to Unwanted war declared by Russia president,the reson behind this war ?",-1,"Negatif"
"85","@Stuart4freedom @ThatOneGuateKid @QuinceSosa @ZanderTheMand3r @LegendaryEnergy You know? The war started when USA proxy Ukraine attacked Russia in February? WW3? Aka nuclear war?

USA and my country at war? You get that?",0,"Netral"
"86","@SenTedCruz That is a load of rubbish. This war was in the planning for a long time. Russia knew that it was going to be attacking Ukraine when President Trump was in power.",0,"Netral"
"87","@SenTedCruz The war in the Ukraine was caused by Putin's fascist ambitions for conquest which no doubt extended far beyond Ukraine.  What is disturbing is how invested Russia seems to be in promoting Trump and the Republican Party.  Putin is a greater threat than Bin Laden ever was.",-4,"Negatif"
"88","Russia/Putin still not calling the invasion of Ukraine a war! #SlavaUkraïni 🇺🇦
From who did they learn that from?",0,"Netral"
"89","Historian Serhii Plokhy: ‘The fate of the war is already clear: Ukraine will be independent and Russia will be tremendously weakened’ https://t.co/dZOW2DSRsH via @elpaisinenglish",1,"Positif"
"90","@Deadhead722 Thats some Bs. Everyone in the world BUT YOU know that Ukraine is a front for the Democrat war machine that wants war with Atomic Bomb Russia in order to keep the war $$$ machine running. Democrat leaders want WW3 and Republicans want fascism. Y’all’s leaders are just as bad.",0,"Netral"
"91","@GottaChangeIt @DashDobrofsky Probably because it was propaganda. We are using Ukraine to fight a war with Russia that Ukraine can't win.",0,"Netral"
"92","@EuromaidanPress @gorodetskaya Please watch, and when you watch, please think of the thousands of Ukrainian children abducted by Russia and cut off from their culture. Stand with Ukraine 🇺🇦 defeat Russia’s genocidal war.",1,"Positif"
"93","@SankoshRiver @OlenaHalushka Ukraine is being destroyed by design. This is a war to weaken Russia. Washington did everything they could to provoke the conflict. The West is now about tapped out of reserve material and this would be a good time for Ukraine to tap out.",-1,"Negatif"
"94","@Michael97453926 @squatsons I'm not being funny, but after overthrowing the elected govt, what did Ukraine's new leadership expect?
Note, we have also banned channels &amp; media in our own country.
We were at war with Germany in 1939, Ukraine wasnt at war with Russia until Feb, the west still isnt",0,"Netral"
"95","@POTUS What russia is doing other nations has done aothers will do in the future, other things sometimes are inevitable to evade without strong sharing and discussions, isolations  sunctions and continuing supporting ukraine are unproper measures. While you can end the war.",0,"Netral"
"96","@Vengerberg5 @WIONews @JoeBiden The US doesn't send mercenaries. That's a lie Russians spread because they're embarrassed that Ukraine alone, with considerable material support, is enough to defeat Russia's military might.

Russia can end the war any time by stopping its aggression.",1,"Positif"
"97","Around 13,000 Ukrainian soldiers killed in Russia Ukraine war. 

https://t.co/knyM5Urn6w

#Ukraine #UkraineWar #Ukraina https://t.co/Qneonkk56G",-1,"Negatif"
"98","Captured doc shows #Putin 🇷🇺 plan 2 occupy 🇺🇦 &amp; kill @ZelenskyyUa &amp; co. in 10 days ✍️ 🇬🇧 &amp; 🇺🇦 intelligence based on 🇷🇺 plans. In 10 days!?! 😂 😂  #Russia sweet dreams became nightmare innit 😂 🇺🇦 💪 🇺🇦 ♥ 🇺🇦 ✌ 
#RussiaIsATerroristState
#SlavaUkraini

https://t.co/hjbwhCKkL5",0,"Netral"
"99","In Ukraine’s capital, Putin’s attacks don’t dim the resolve to fight Russia https://t.co/XV20avHTZS",-2,"Negatif"
"100","Captured doc shows #Putin 🇷🇺 plan 2 occupy 🇺🇦 &amp; kill @ZelenskyyUa &amp; co. in 10 days ✍️ 🇬🇧 &amp; 🇺🇦 intelligence based on 🇷🇺 plans. In 10 days!?! 😂 😂  #Russia sweet dreams became nightmare innit 😂 🇺🇦 💪 🇺🇦 ♥ 🇺🇦 ✌ 
#RussiaIsATerroristState
#SlavaUkraini

https://t.co/hjbwhD1W9F",0,"Netral"
"101","@g20org India's support for Russia's invasion of Ukraine is bringing shame down on India. India cannot be seen to collude with a country ruled by a criminal government. Putin is a war criminal.",-2,"Negatif"
"102","How Russia is Overwhelming Ukraine's Air Defence Systems | Can US Save Ukraine? | Russia Ukraine War
#Zaporizhia #Ukraine #Russia #Crimea #Chechnya
https://t.co/exA8s2tdSD",0,"Netral"
"103","Historic Victory From Ukraine: The War Is Now In Russia! https://t.co/Z9PsOJRGfd via @YouTube",0,"Netral"
"104","Russia Is Using Rape as a Weapon in Ukraine. The West Must Hold Putin Accountable. https://t.co/xDyGn6PPyW via @thedailybeast Yes, Putin &amp; his other war criminals must be fully prosecuted for their barbarism &amp; atrocities. Rape as a weapon of war is just so inhuman &amp; disgusting",-2,"Negatif"
"105","Russia IN TROUBLE around VITAL town - Ukraine War Map Update 01/DEC/2022
#Zaporizhia #Ukraine #Russia #Crimea #Chechnya
https://t.co/yfD0J4ZvO4",0,"Netral"
"106","Russia couldn't beat Afghanistan, they can't beat Ukraine but Ukraine conversely can't beat Russia. This war/money laundering scheme could go on for decades.
#RussiaUkraineWar",0,"Netral"
"107","https://t.co/AkGVqVAI19 Retaking #Crimea has long been the goal for #Ukraine. But why does Ukraine seem optimistic about its chances? The way that #Russia has fought the war so far suggests that its position in Crimea is weaker than it might seem.",0,"Netral"
"108","#russia wages war in #ukraine whole their own people freeze and die without help from their conscripted and dead sons..#horror of madness..

https://t.co/XNthEKBSAF",-3,"Negatif"
"109","@JakobWeissEsq @MikeyBolt69 @DefenceU @operativno_ZSU Most Ukranians fought IN the red army, against the nazi invaders. That correction beside, how can what happened 80 years ago justify a war today, against a democratic country, led by a president of jewish background? Ukraine has less nazis than russia today.",1,"Positif"
"110","@imetatronink 19 Soyuz launches to date in 2022. 

Meanwhile ESA has had 3.

I'm old enough to remember this media 🐂💩""Russia Just Became the World’s First Former Space Power""

https://t.co/dwkufC2Ngh https://t.co/tpblE1Aojt",1,"Positif"
"111","Exactly. It's a war, on us. And it's not Russia or in Ukraine. https://t.co/N08Ukb18r0",0,"Netral"
"112",".@aaronjmate brilliantly addresses typical concerns of not very geopolitically-savvy people about the proxy war against Russia in Ukraine. https://t.co/gJylw0BzXQ",0,"Netral"
"113","@ldodger @MiaFarrow Right? Because financially we were doing amazing and now people are broke, getting laid off, inflation highest it’s been in 40 years, Russia goes to war with Ukraine, Oh, but according to liberals we are so much better off without Trump!",2,"Positif"
"114","Talk about an upset.. Ukraine winning the war against Russia.. even though the russians have nuclear weapons still doesn’t face the fact there losing the basic ground battles.. kudos to Ukraine.. 👏🏼 #Ukraine https://t.co/a1JWewnJIM",1,"Positif"
"115","@vonderleyen Be honest  and aknowledge that EU is a tipless bullet that in the Russia Ukraine war is dancing to the US' tune  showing its weakness.",1,"Positif"
"116","@RyanRacine3 @apoc9711 @McFaul I agree this war needs to end, but after US leaves Syria, Haiti, Ethiopia, Iraq and any other country that wants the US out which US uses sanctions to force those countries to let them stay, after that we can talk about Russia leaving Ukraine",0,"Netral"
"117","Let's all sincerely pray for Russia &amp; Ukraine war. May God speak to both the Presidents &amp; give them wisdom &amp; instill in them the love of their respective citizens. This is not an age of Wars but an age of Global Village like co-existence &amp; advancements toward human civilizations",4,"Positif"
"118","Great Legacy in the Philippines' promotion
👉https://t.co/0hoXOojgeT

#GreatLegacy #Peace #peacedocumentary #Movie #Philippines #Mindanao #ManHeeLee #HWPL #Reality #PeaceIsHere #Messengerofpeace #RUSSIA #UKRAINE #PEACELAW #WAR #WARP #WORLDPEACE https://t.co/BmhPedAPLe",0,"Netral"
"119","@Ty___Webb And to have many of the @GOP in Congress questioning our commitment to Ukraine in a war Russia instigated. Embarrassing.",1,"Positif"
"120","Wait… I thought this war was between Russia and Ukraine? https://t.co/Lg7okQgJYZ",0,"Netral"
"121","Great Legacy in the Philippines' promotion
👉https://t.co/0hoXOojgeT

#GreatLegacy #Peace #peacedocumentary #Movie #Philippines #Mindanao #ManHeeLee #HWPL #Reality #PeaceIsHere #Messengerofpeace #RUSSIA #UKRAINE #PEACELAW #WAR #WARP #WORLDPEACE https://t.co/bwuCGvg85D",0,"Netral"
"122","Russia accuses US of 'direct' participation in Ukraine war, but Lavrov open to talks https://t.co/GsVXNq8SFt",-1,"Negatif"
"123","Russia IN TROUBLE around VITAL town - Ukraine War Map Update 01/DEC/2022 https://t.co/JBWYUqhtbP via @YouTube",0,"Netral"
"124","RUSSIAN PROPAGANDISTS ARE WORRIED ABOUT LOSING THE WAR AND BEING TRIED FOR WARCRIMES || 2022
#Zaporizhia #Ukraine #Russia #Crimea #Chechnya
https://t.co/zk7iEQnIHR",0,"Netral"
"125","@AltosAlt Ye will end the war in Ukraine by uniting the Nazis of both sides together to claim Donbas. Well-meaning Russians and Ukrainians can then unite, Russia can say it “de-Nazified” Ukraine, Ye goes down as one of the humanitarians for averting nuclear war. It’s genius. It’s beautiful",1,"Positif"
"126","@tuckfwitterz @MID_RF @mod_russia @rvio_ru @A_Gasparyan @RussiaInUSA @RussianEmbassy @Vlad_Kononov @mil_hist_rf @rushistorg @muzeypobedy @diplohistory Whataboutism, the argument for the lazy and the feeble. What someone did to someone else somewhere else in the past doesn’t justify what the fascist Russians are doing in Ukraine. Genocide and war crimes can never be justified https://t.co/LNdtcqtA0p",-2,"Negatif"
"127","@patriottakes @Acyn Send them to Russia so Putin can enlist them in his war against Ukraine.",0,"Netral"
"128","@exit266 @CYBER__WHAT Lots of arguments:
ICC cannot charge aggression against non-party states 
https://t.co/aIObNmO7ui

ICJ vs ICC vs ECHR vs Tribunal
https://t.co/CyVtgHWtNq

Status of ICC investigation
https://t.co/zyH8VwdTY0

Pro-ICC
https://t.co/3663xVz6Fi

Pro-local
https://t.co/x4gAiLwqsf",-1,"Negatif"
"129","Russian Death Toll To Hit 90,000 As Grisly Cost of War Revealed: Ukraine - Newsweek https://t.co/zoef777Mf9 https://t.co/Nh4y7LNSHJ",0,"Netral"
"130","Ukraine-Russia war live updates: Ukraine has lost 10,000-13,000 soldiers https://t.co/rJfZL8ECZh",-1,"Negatif"
"131","@POTUS A big father your home and all your belongings are good but look outside, look the whole world remember you are how you are not for yourself but for all the creatures of the world stand to your position lead and influence others stop the war btn russia and Ukraine remember this.",2,"Positif"
"132","Joe Biden and Emmanuel Macron condemn Vladimir Putin for the Ukraine invasion but open for talks

https://t.co/PHnEbMTEgM",-1,"Negatif"
"133","As War Rages In Ukraine, Odesa Votes To Remove Statue Of Russian Empress Catherine II: Radio Free Europe https://t.co/7J5KQjGjeA",0,"Netral"
"134","Joe Biden says he is prepared to speak to Vladimir Putin if the Russian president is willing to end the war 
Russia-Ukraine war at a glance: what we know on day 282 of the invasion https://t.co/UX3cMoqMHy",1,"Positif"
"135","Rus­sia’s Lavrov says US &amp; NATO are par­tic­i­pants in Ukraine war
#Zaporizhia #Ukraine #Russia #Crimea #Chechnya
https://t.co/SYQtP5oWVD",0,"Netral"
"136","‘Antiwar's Ted Snider-
the US proxy war in Ukraine has never really been about Ukraine, &amp; hasn't even ultimately been about Russia.
In the long run this standoff has always been about China, &amp; about the desperate campaign of the US empire to preserve its unrivaled domination’ https://t.co/YEyTX45Biw",0,"Netral"
"137","United States President Joe Biden hosted French President Emmanuel Macron at the White House on Thursday
#UnitedStates #JoeBiden #EmmanuelMacron #WhiteHouse #France 
https://t.co/qxHJmill4d",0,"Netral"
"138","“WAR” DECLARED ON #RUSSIA - #CHINA - #IRAN - #SYRIA - #NORTHKOREA~#INDIA ~ &amp; “ALL #SCO MEMBERS”!!! 
“BY” -  The Military Industrial ""INTELLIGENCE"" (IDIOT'S) Complex (The United States Government), under a United States Military Contract 

https://t.co/Mtx8p3u0AS",0,"Netral"
"139","NEWSWEEK: Putin Loses 6000 Troops in 2 Weeks

Russian President Vladimir Putin lost more than 6,000 of his troops in two weeks, adding further casualties to a hefty estimated Russian death toll from the war in Ukraine....

https://t.co/BNOY067hNK",-4,"Negatif"
"140","30 Nov: Russians PANIC. MASSIVE SABOTAGE HITS Russian Cities | War in Ukraine Explained
#Zaporizhia #Ukraine #Russia #Crimea #Chechnya
https://t.co/CzPm2yXhqV",0,"Netral"
"141","In a press conference following a bilateral meeting with French Pres. Emmanuel Macron, Pres. Biden reiterated France and the U.S.’s support for Ukraine as Russia’s war on the country continues https://t.co/LjSl2urPQc",1,"Positif"
